initial_spp_id,confirmed_species_id,ECA_name,s_label,box,position,last chunk,bleach,bleach transfer,Freeze box,chunk to freeze,10cm plates to Robyn,worms frozen,10cm gdna plate,DNA pellet,gDNA extracted,notes,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1143,S-07783,1,A1,2/16/19,2/19/19,2/20/19,11,2/25/19,1,3/6/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1144,S-07786,1,A1,2/16/19,2/19/19,2/20/19,11,2/25/19,1,3/6/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1145,S-07787,1,A1,2/1/19,2/5/19,2/6/19,10,2/13/19,1,2/22/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1146,S-07788,1,A1,3/2/19,3/5/19,3/6/19,15,3/10/0219,1,3/15/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1147,S-07918,1,A4,1/29/19,2/1/19,2/2/19,7,2/5/19,1,2/11/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1148,S-07930,1,A4,1/29/19,2/1/19,2/2/19,7,2/5/19,1,2/11/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1149,S-07931,1,A4,2/1/19,2/5/19,2/6/19,9,2/13/19,1,2/22/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1150,S-07932,1,A5,1/29/19,2/1/19,2/2/19,7,2/5/19,1,2/11/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1151,S-07936,1,A5,1/29/19,2/1/19,2/2/19,7,2/5/19,1,2/11/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1152,S-08000,1,A5,2/1/19,2/5/19,2/6/19,10,2/13/19,1,2/25/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1153,S-08017,1,B1,2/1/19,2/5/19,2/6/19,9,2/13/19,1,2/22/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1154,S-08018,1,B1,1/29/19,2/1/19,2/2/19,7,2/5/19,1,2/11/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1155,S-08019,1,B1,1/29/19,2/1/19,2/2/19,7,2/5/19,1,2/11/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1156,S-08020,1,B1,1/29/19,2/1/19,2/2/19,7,2/5/19,1,2/11/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1157,S-08025,1,B2,1/29/19,2/1/19,2/2/19,8,2/5/19,1,2/11/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1158,S-08028,1,B2,2/1/19,2/5/19,2/6/19,10,2/13/19,1,2/25/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1159,S-08035,1,B3,2/1/19,2/5/19,2/6/19,10,2/13/19,1,2/25/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1160,S-08037,1,B4,2/1/19,2/5/19,2/6/19,9,2/13/19,1,2/22/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1161,S-08038,1,B4,1/29/19,2/1/19,2/2/19,8,2/5/19,1,2/11/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1162,S-08039,1,B4,2/1/19,2/5/19,2/6/19,9,2/13/19,1,2/25/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1163,S-08057,1,B4,2/1/19,2/5/19,2/6/19,9,2/13/19,1,2/25/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1164,S-08059,1,B5,1/29/19,2/1/19,2/2/19,8,2/5/19,1,2/11/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1165,S-08060,1,B5,3/2/19,3/5/19,3/6/19,15,3/10/0219,1,3/15/19,,1,,,,,,,,,,,,,
